source,relation,target,weight
前端,核心分类,初阶,10
前端,核心分类,高阶,10
初阶,核心模块,前端基础,10
初阶,辅助工具,开发工具,8
前端基础,运行环境,客户端,9
前端基础,核心模块,网络,9
前端基础,基础语法,HTML,10
前端基础,基础语法,CSS,10
前端基础,核心语言,JavaScript,10
前端基础,行业标准,行业标准,9
客户端,部署环境,浏览器,9
客户端,部署环境,APP,8
浏览器,具体实现,Chrome,8
浏览器,具体实现,Safari,7
浏览器,具体实现,Firefox,7
APP,具体实现,小程序,9
APP,技术实现,WebView,8
网络,核心概念,Domain,8
网络,通信协议,TCP/IP,8
网络,核心概念,DNS,7
网络,通信协议,HTTP,10
前端基础,服务端,服务端,8
服务端,服务器软件,WebServer,8
WebServer,具体实现,Nginx,9
WebServer,具体实现,Apache HTTP Server,7
WebServer,技术实现,CDN,8
服务端,开发语言,服务端语言,8
服务端语言,具体实现,PHP,7
服务端语言,具体实现,Java,9
服务端语言,具体实现,Golang,8
服务端,数据存储,数据库,8
服务端,运行环境,操作系统,7
行业标准,标准组织,W3C/WHATWG,9
W3C/WHATWG,标准规范,CSS标准,9
W3C/WHATWG,标准规范,HTML、XHTML、XML、HTML5标准,10
W3C/WHATWG,标准规范,DOM标准,9
W3C/WHATWG,标准规范,SVG标准,7
W3C/WHATWG,标准规范,小程序标准,8
行业标准,标准组织,ECMA-TC39,9
ECMA-TC39,标准规范,ECMAScript标准,10
ECMA-TC39,标准规范,JavaScript标准,10
开发工具,代码编辑,编辑器,9
编辑器,具体实现,Atom,7
编辑器,具体实现,Visual Studio Code,10
编辑器,具体实现,Webstorm,8
开发工具,调试工具,调试预览,9
调试预览,浏览器工具,浏览器调试工具,9
浏览器调试工具,具体实现,FireBug,7
浏览器调试工具,具体实现,Chrome DevTools,10
调试预览,在线服务,在线服务,8
在线服务,具体实现,CodePen,7
在线服务,具体实现,JSFiddle,7
开发工具,图形处理,图片编辑器,7
图片编辑器,具体实现,PhotoShop,9
图片编辑器,具体实现,Sketch,8
开发工具,版本控制,版本管理,9
版本管理,具体实现,Git,10
版本管理,具体实现,SVN,7
HTML,核心组成,元素,10
元素,根元素类型,根元素,9
根元素,具体标签,主根元素html,10
根元素,具体标签,分区根元素body,10
元素,元数据标签,元数据,9
元数据,具体标签,base,7
元数据,具体标签,head,10
元数据,具体标签,title,9
元数据,具体标签,meta,10
元数据,具体标签,link,9
元数据,具体标签,style,9
元素,页面结构,内容分区,9
内容分区,具体标签,header,9
内容分区,具体标签,footer,9
内容分区,具体标签,p,10
内容分区,具体标签,注释,8
内容分区,具体标签,article,8
内容分区,具体标签,nav,9
内容分区,具体标签,section,9
内容分区,具体标签,address,7
元素,内容展示,内容,8
内容,具体标签,块级内容 div、dir,9
内容,具体标签,文字内容 a、b、strong,9
元素,媒体元素,图片和多媒体,9
图片和多媒体,具体标签,video,9
图片和多媒体,具体标签,img,10
图片和多媒体,具体标签,figure,7
图片和多媒体,具体标签,audio,8
元素,嵌入内容,内嵌内容,8
内嵌内容,具体标签,object,7
内嵌内容,具体标签,iframe,9
元素,脚本支持,脚本,9
脚本,具体标签,script,10
脚本,具体标签,noscript,7
脚本,具体标签,canvas,9
元素,数据展示,表格,8
表格,具体标签,tbody,8
表格,具体标签,table,9
元素,交互组件,表单,10
表单,具体标签,input,10
表单,具体标签,textarea,9
表单,具体标签,form,10
表单,具体标签,button,10
元素,交互元素,可交互元素,7
可交互元素,具体标签,menuitem,6
可交互元素,具体标签,menu,7
元素,文本语义,内联文本语义,8
内联文本语义,具体标签,a,10
内联文本语义,具体标签,abbr,7
内联文本语义,具体标签,b,9
内联文本语义,具体标签,br,9
内联文本语义,具体标签,cite,7
内联文本语义,具体标签,code,8
内联文本语义,具体标签,dfn,6
